,Tissue,nHVG,cl,SScore,res,cl_method
0,SIDM00890,n2000,2,0.3113412,,kmeans
1,SIDM00890,n2000,3,0.28333375,,kmeans
2,SIDM00890,n2000,4,0.21241868,,kmeans
3,SIDM00890,n2000,5,0.19643514,,kmeans
4,SIDM00890,n2000,6,0.21590036,,kmeans
5,SIDM00890,n2000,7,0.1704701,,kmeans
6,SIDM00890,n2000,8,0.21085471,,kmeans
7,SIDM00890,n2000,9,0.1702176,,kmeans
8,SIDM00890,n2000,10,0.12822929,,kmeans
9,SIDM00890,n2500,2,0.31046608,,kmeans
10,SIDM00890,n2500,3,0.28786328,,kmeans
11,SIDM00890,n2500,4,0.21792535,,kmeans
12,SIDM00890,n2500,5,0.21383084,,kmeans
13,SIDM00890,n2500,6,0.18050747,,kmeans
14,SIDM00890,n2500,7,0.22150871,,kmeans
15,SIDM00890,n2500,8,0.19855018,,kmeans
16,SIDM00890,n2500,9,0.17540132,,kmeans
17,SIDM00890,n2500,10,0.18626456,,kmeans
18,SIDM00890,n3000,2,0.3051115,,kmeans
19,SIDM00890,n3000,3,0.28551516,,kmeans
20,SIDM00890,n3000,4,0.22520155,,kmeans
21,SIDM00890,n3000,5,0.21751583,,kmeans
22,SIDM00890,n3000,6,0.21974255,,kmeans
23,SIDM00890,n3000,7,0.1781447,,kmeans
24,SIDM00890,n3000,8,0.19810025,,kmeans
25,SIDM00890,n3000,9,0.13214506,,kmeans
26,SIDM00890,n3000,10,0.16445783,,kmeans
27,SIDM00890,n3500,2,0.30662563,,kmeans
28,SIDM00890,n3500,3,0.28854457,,kmeans
29,SIDM00890,n3500,4,0.23106165,,kmeans
30,SIDM00890,n3500,5,0.21708004,,kmeans
31,SIDM00890,n3500,6,0.19506103,,kmeans
32,SIDM00890,n3500,7,0.17632557,,kmeans
33,SIDM00890,n3500,8,0.1950435,,kmeans
34,SIDM00890,n3500,9,0.19825827,,kmeans
35,SIDM00890,n3500,10,0.17740811,,kmeans
36,SIDM00890,n4000,2,0.29782364,,kmeans
37,SIDM00890,n4000,3,0.28395253,,kmeans
38,SIDM00890,n4000,4,0.24003777,,kmeans
39,SIDM00890,n4000,5,0.21664506,,kmeans
40,SIDM00890,n4000,6,0.188525,,kmeans
41,SIDM00890,n4000,7,0.20205262,,kmeans
42,SIDM00890,n4000,8,0.19620135,,kmeans
43,SIDM00890,n4000,9,0.18622164,,kmeans
44,SIDM00890,n4000,10,0.1955566,,kmeans
45,SIDM00890,n4500,2,0.29588202,,kmeans
46,SIDM00890,n4500,3,0.28216064,,kmeans
47,SIDM00890,n4500,4,0.24894272,,kmeans
48,SIDM00890,n4500,5,0.16672741,,kmeans
49,SIDM00890,n4500,6,0.17667829,,kmeans
50,SIDM00890,n4500,7,0.20869341,,kmeans
51,SIDM00890,n4500,8,0.19883823,,kmeans
52,SIDM00890,n4500,9,0.1826749,,kmeans
53,SIDM00890,n4500,10,0.18511225,,kmeans
54,SIDM00890,n5000,2,0.29183948,,kmeans
55,SIDM00890,n5000,3,0.2774864,,kmeans
56,SIDM00890,n5000,4,0.24816972,,kmeans
57,SIDM00890,n5000,5,0.21834664,,kmeans
58,SIDM00890,n5000,6,0.20609018,,kmeans
59,SIDM00890,n5000,7,0.19080308,,kmeans
60,SIDM00890,n5000,8,0.20940916,,kmeans
61,SIDM00890,n5000,9,0.16084482,,kmeans
62,SIDM00890,n5000,10,0.13395163,,kmeans
63,SIDM00890,n5500,2,0.2871186,,kmeans
64,SIDM00890,n5500,3,0.26977056,,kmeans
65,SIDM00890,n5500,4,0.24807918,,kmeans
66,SIDM00890,n5500,5,0.21844073,,kmeans
67,SIDM00890,n5500,6,0.1939124,,kmeans
68,SIDM00890,n5500,7,0.1748862,,kmeans
69,SIDM00890,n5500,8,0.19950096,,kmeans
70,SIDM00890,n5500,9,0.1407771,,kmeans
71,SIDM00890,n5500,10,0.18732719,,kmeans
72,SIDM00890,n6000,2,0.28812715,,kmeans
73,SIDM00890,n6000,3,0.27361524,,kmeans
74,SIDM00890,n6000,4,0.24116682,,kmeans
75,SIDM00890,n6000,5,0.2169297,,kmeans
76,SIDM00890,n6000,6,0.17950901,,kmeans
77,SIDM00890,n6000,7,0.18983728,,kmeans
78,SIDM00890,n6000,8,0.19527869,,kmeans
79,SIDM00890,n6000,9,0.18161118,,kmeans
80,SIDM00890,n6000,10,0.1682617,,kmeans
81,SIDM00890,n6500,2,0.28488353,,kmeans
82,SIDM00890,n6500,3,0.26984498,,kmeans
83,SIDM00890,n6500,4,0.24230781,,kmeans
84,SIDM00890,n6500,5,0.225679,,kmeans
85,SIDM00890,n6500,6,0.20779288,,kmeans
86,SIDM00890,n6500,7,0.17853819,,kmeans
87,SIDM00890,n6500,8,0.19685966,,kmeans
88,SIDM00890,n6500,9,0.16108736,,kmeans
89,SIDM00890,n6500,10,0.18307854,,kmeans
90,SIDM00890,n7000,2,0.2829329,,kmeans
91,SIDM00890,n7000,3,0.26751998,,kmeans
92,SIDM00890,n7000,4,0.24709764,,kmeans
93,SIDM00890,n7000,5,0.22348961,,kmeans
94,SIDM00890,n7000,6,0.20259945,,kmeans
95,SIDM00890,n7000,7,0.18516162,,kmeans
96,SIDM00890,n7000,8,0.16097146,,kmeans
97,SIDM00890,n7000,9,0.16184714,,kmeans
98,SIDM00890,n7000,10,0.15593825,,kmeans
99,SIDM00890,n7500,2,0.28267714,,kmeans
100,SIDM00890,n7500,3,0.2648633,,kmeans
