,CellLine,nHVG,cl,SScore,res,cl_method
35505,SIDM00078,n3500,5,0.33426765,0.6,leiden
15697,SIDM00080,n3000,3,0.3197859,,kmeans
3276,SIDM00082,n2000,2,0.3442916,,kmeans
39370,SIDM00088,n6500,2,0.3334413,0.4,leiden
38783,SIDM00097,n2000,2,0.34978956,0.2,leiden
15912,SIDM00108,n2000,2,0.39238128,,kmeans
9135,SIDM00116,n2500,2,0.29730216,,kmeans
37511,SIDM00119,n3500,2,0.37798503,0.2,leiden
34822,SIDM00122,n3500,2,0.44477153,0.2,leiden
16614,SIDM00128,n2000,2,0.41271347,,kmeans
2575,SIDM00131,n2000,3,0.32915655,,kmeans
35032,SIDM00139,n2500,2,0.30749837,0.2,leiden
34030,SIDM00148,n6500,3,0.31051928,0.4,leiden
36627,SIDM00213,n4000,2,0.31925324,0.4,leiden
2935,SIDM00235,n2500,3,0.3049752,,kmeans
38148,SIDM00239,n2000,3,0.3452287,0.4,leiden
41415,SIDM00247,n4000,2,0.40889278,0.2,leiden
39394,SIDM00305,n2000,4,0.32843637,0.4,leiden
34586,SIDM00306,n2000,2,0.45437986,0.2,leiden
38610,SIDM00317,n7000,5,0.3548116,0.4,leiden
39192,SIDM00335,n4000,3,0.32109186,0.4,leiden
35693,SIDM00359,n7000,2,0.32500648,0.2,leiden
39621,SIDM00369,n8000,2,0.34562734,0.2,leiden
8775,SIDM00392,n2000,2,0.30103984,,kmeans
41526,SIDM00395,n8000,2,0.32946175,0.4,leiden
39504,SIDM00425,n4500,6,0.33797565,0.8,leiden
43075,SIDM00481,n2000,4,0.312312,0.4,leiden
41752,SIDM00486,n2500,2,0.3839882,0.2,leiden
37007,SIDM00487,n2500,2,0.34146482,0.4,leiden
13816,SIDM00494,n2500,3,0.35404357,,kmeans
37339,SIDM00528,n2000,2,0.409175,0.2,leiden
37276,SIDM00533,n2500,3,0.32301465,0.4,leiden
41327,SIDM00587,n3000,4,0.31056848,0.6,leiden
42142,SIDM00597,n2500,2,0.33608916,0.2,leiden
36875,SIDM00615,n2000,2,0.3195402,0.2,leiden
41968,SIDM00629,n7500,2,0.43519497,0.2,leiden
38651,SIDM00640,n4000,2,0.32136884,0.2,leiden
3771,SIDM00649,n3500,2,0.47056434,,kmeans
40639,SIDM00654,n2500,2,0.29601866,0.2,leiden
9603,SIDM00663,n2500,2,0.3589903,,kmeans
41538,SIDM00672,n2500,4,0.31250685,0.8,leiden
34887,SIDM00681,n2500,2,0.3008617,0.2,leiden
35129,SIDM00683,n4000,3,0.33383667,0.4,leiden
16488,SIDM00690,n8000,2,0.34047955,,kmeans
39639,SIDM00708,n3000,2,0.37210935,0.2,leiden
37682,SIDM00716,n5500,4,0.34195715,0.6,leiden
39999,SIDM00718,n7000,2,0.3086169,0.2,leiden
35328,SIDM00726,n8000,2,0.30582678,0.4,leiden
14742,SIDM00729,n2000,2,0.3231274,,kmeans
11584,SIDM00750,n2000,3,0.41554368,,kmeans
4599,SIDM00795,n4000,2,0.2907519,,kmeans
12636,SIDM00798,n2000,2,0.383279,,kmeans
37722,SIDM00831,n2500,2,0.35843363,0.2,leiden
38037,SIDM00881,n4000,2,0.2906231,0.4,leiden
11511,SIDM00882,n4500,2,0.45840454,,kmeans
0,SIDM00890,n2000,2,0.3113412,,kmeans
34509,SIDM00919,n2000,2,0.314318,0.2,leiden
41088,SIDM00920,n2500,3,0.4294138,0.2,leiden
9063,SIDM00921,n5000,2,0.39625463,,kmeans
11430,SIDM00945,n6500,2,0.3224919,,kmeans
2232,SIDM00947,n2500,2,0.2992401,,kmeans
39056,SIDM00950,n5500,2,0.35629886,0.2,leiden
2169,SIDM00963,n5500,2,0.30627605,,kmeans
37598,SIDM00980,n4500,2,0.33705556,0.4,leiden
4032,SIDM00988,n5000,2,0.30147016,,kmeans
31455,SIDM00997,n7500,2,0.32839674,,gmm
10342,SIDM01002,n4500,3,0.32501617,,kmeans
42785,SIDM01070,n2000,2,0.2994601,0.2,leiden
16497,SIDM01080,n2000,2,0.49233693,,kmeans
15444,SIDM01082,n2000,2,0.4498115,,kmeans
42284,SIDM01085,n2000,3,0.35292202,0.4,leiden
3510,SIDM01105,n2000,2,0.36562383,,kmeans
10530,SIDM01119,n2000,2,0.34282598,,kmeans
37806,SIDM01155,n3000,2,0.45208123,0.2,leiden
34365,SIDM01156,n2000,4,0.30789712,0.6,leiden
38515,SIDM01169,n5500,3,0.3735535,0.6,leiden
43545,SIDM01188,n5000,2,0.31189066,0.4,leiden
8388,SIDM01190,n6500,2,0.31290364,,kmeans
